,studyid,intid,repeatcode_study,figcode_study,int_type,spp,year,species,general,repeatcode,figcode,phenofreq,short_site,terrestrial,phenovalue
29,HMK008,144,repeat,HMK008_1,pollination,spp1,1986,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,81.53372
30,HMK008,144,repeat,HMK008_1,pollination,spp1,1987,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,110.7054
31,HMK008,144,repeat,HMK008_1,pollination,spp1,1988,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,109.9014
32,HMK008,144,repeat,HMK008_1,pollination,spp1,1989,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,125.3521
33,HMK008,144,repeat,HMK008_1,pollination,spp1,1991,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,110.7233
34,HMK008,144,repeat,HMK008_1,pollination,spp1,1992,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,116.1188
35,HMK008,144,repeat,HMK008_1,pollination,spp1,1993,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,117.1447
36,HMK008,144,repeat,HMK008_1,pollination,spp1,1994,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,87.76914
37,HMK008,144,repeat,HMK008_1,pollination,spp1,1995,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,97.9382
38,HMK008,144,repeat,HMK008_1,pollination,spp1,1997,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,130.9093
39,HMK008,144,repeat,HMK008_1,pollination,spp1,1999,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,143.1043
40,HMK008,144,repeat,HMK008_1,pollination,spp1,2001,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,124.7273
41,HMK008,144,repeat,HMK008_1,pollination,spp1,2003,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,102.1519
42,HMK008,144,repeat,HMK008_1,pollination,spp1,2007,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,114.1644
43,HMK008,144,repeat,HMK008_1,pollination,spp1,2008,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,106.7565
44,HMK008,144,repeat,HMK008_1,pollination,spp1,2009,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,111.4213
45,HMK008,144,repeat,HMK008_1,pollination,spp1,2010,Castilleja tenuiflora,Castilleja tenuiflora,unique,unique,daily,arizona,terrestrial,109.1358
104,HMK008,144,repeat,HMK008_1,pollination,spp2,1984,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,105.56655
105,HMK008,144,repeat,HMK008_1,pollination,spp2,1985,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,111.87816
106,HMK008,144,repeat,HMK008_1,pollination,spp2,1986,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,117.4038
107,HMK008,144,repeat,HMK008_1,pollination,spp2,1987,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,104.1018
108,HMK008,144,repeat,HMK008_1,pollination,spp2,1988,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,137.2863
109,HMK008,144,repeat,HMK008_1,pollination,spp2,1989,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,124.44905
110,HMK008,144,repeat,HMK008_1,pollination,spp2,1991,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,118.3513
111,HMK008,144,repeat,HMK008_1,pollination,spp2,1992,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,117.2051
112,HMK008,144,repeat,HMK008_1,pollination,spp2,1993,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,125.48115
113,HMK008,144,repeat,HMK008_1,pollination,spp2,1994,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,120.24725
114,HMK008,144,repeat,HMK008_1,pollination,spp2,1995,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,122.9208
115,HMK008,144,repeat,HMK008_1,pollination,spp2,1997,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,114.09895
116,HMK008,144,repeat,HMK008_1,pollination,spp2,1999,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,134.1332
117,HMK008,144,repeat,HMK008_1,pollination,spp2,2001,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,95.23505
118,HMK008,144,repeat,HMK008_1,pollination,spp2,2003,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,126.27915
119,HMK008,144,repeat,HMK008_1,pollination,spp2,2007,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,111.7822
120,HMK008,144,repeat,HMK008_1,pollination,spp2,2008,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,122.6224
121,HMK008,144,repeat,HMK008_1,pollination,spp2,2009,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,107.19982
122,HMK008,144,repeat,HMK008_1,pollination,spp2,2010,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,119.7149
46,HMK008,145,repeat,HMK008_2,pollination,spp1,1975,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,170.8556
47,HMK008,145,repeat,HMK008_2,pollination,spp1,1979,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,163.5027
48,HMK008,145,repeat,HMK008_2,pollination,spp1,1980,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,166.0428
49,HMK008,145,repeat,HMK008_2,pollination,spp1,1981,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,151.8075
50,HMK008,145,repeat,HMK008_2,pollination,spp1,1982,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,159.2941
51,HMK008,145,repeat,HMK008_2,pollination,spp1,1983,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,170.9893
52,HMK008,145,repeat,HMK008_2,pollination,spp1,1984,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,169.385
53,HMK008,145,repeat,HMK008_2,pollination,spp1,1985,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,155.8182
54,HMK008,145,repeat,HMK008_2,pollination,spp1,1986,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,151.8075
55,HMK008,145,repeat,HMK008_2,pollination,spp1,1987,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,152.8075
56,HMK008,145,repeat,HMK008_2,pollination,spp1,1988,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,151.738
57,HMK008,145,repeat,HMK008_2,pollination,spp1,1989,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,148.4652
58,HMK008,145,repeat,HMK008_2,pollination,spp1,1991,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,160.8289
59,HMK008,145,repeat,HMK008_2,pollination,spp1,1993,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,169.5882
60,HMK008,145,repeat,HMK008_2,pollination,spp1,1995,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,177.0053
61,HMK008,145,repeat,HMK008_2,pollination,spp1,1996,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,155.8824
62,HMK008,145,repeat,HMK008_2,pollination,spp1,1997,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,153.6791
63,HMK008,145,repeat,HMK008_2,pollination,spp1,1998,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,146.3262
64,HMK008,145,repeat,HMK008_2,pollination,spp1,1999,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,160.0267
65,HMK008,145,repeat,HMK008_2,pollination,spp1,2000,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,150
66,HMK008,145,repeat,HMK008_2,pollination,spp1,2001,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,152.3422
67,HMK008,145,repeat,HMK008_2,pollination,spp1,2002,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,137.5027
68,HMK008,145,repeat,HMK008_2,pollination,spp1,2003,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,150
69,HMK008,145,repeat,HMK008_2,pollination,spp1,2004,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,136.9679
70,HMK008,145,repeat,HMK008_2,pollination,spp1,2005,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,149.8021
71,HMK008,145,repeat,HMK008_2,pollination,spp1,2006,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,141.5134
72,HMK008,145,repeat,HMK008_2,pollination,spp1,2007,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,138.5027
73,HMK008,145,repeat,HMK008_2,pollination,spp1,2008,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,163.9037
74,HMK008,145,repeat,HMK008_2,pollination,spp1,2009,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,147.3957
75,HMK008,145,repeat,HMK008_2,pollination,spp1,2010,Delphinium nuttallianum,Delphinium nuttallianum,unique,unique,daily,arizona,terrestrial,150.4706
123,HMK008,145,repeat,HMK008_2,pollination,spp2,1975,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,135.0237
124,HMK008,145,repeat,HMK008_2,pollination,spp2,1979,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,136.4563
125,HMK008,145,repeat,HMK008_2,pollination,spp2,1980,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,138.321
126,HMK008,145,repeat,HMK008_2,pollination,spp2,1981,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,133.4288
127,HMK008,145,repeat,HMK008_2,pollination,spp2,1982,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,135.0248
128,HMK008,145,repeat,HMK008_2,pollination,spp2,1983,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,147.6623
129,HMK008,145,repeat,HMK008_2,pollination,spp2,1984,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,105.56655
130,HMK008,145,repeat,HMK008_2,pollination,spp2,1985,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,111.87816
131,HMK008,145,repeat,HMK008_2,pollination,spp2,1986,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,117.4038
132,HMK008,145,repeat,HMK008_2,pollination,spp2,1987,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,104.1018
133,HMK008,145,repeat,HMK008_2,pollination,spp2,1988,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,137.2863
134,HMK008,145,repeat,HMK008_2,pollination,spp2,1989,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,124.44905
135,HMK008,145,repeat,HMK008_2,pollination,spp2,1991,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,118.3513
136,HMK008,145,repeat,HMK008_2,pollination,spp2,1993,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,125.48115
137,HMK008,145,repeat,HMK008_2,pollination,spp2,1995,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,122.9208
138,HMK008,145,repeat,HMK008_2,pollination,spp2,1996,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,139.1117
139,HMK008,145,repeat,HMK008_2,pollination,spp2,1997,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,114.09895
140,HMK008,145,repeat,HMK008_2,pollination,spp2,1998,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,134.0889
141,HMK008,145,repeat,HMK008_2,pollination,spp2,1999,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,134.1332
142,HMK008,145,repeat,HMK008_2,pollination,spp2,2000,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,116.26345
143,HMK008,145,repeat,HMK008_2,pollination,spp2,2001,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,95.23505
144,HMK008,145,repeat,HMK008_2,pollination,spp2,2002,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,125.7198
145,HMK008,145,repeat,HMK008_2,pollination,spp2,2003,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,126.27915
146,HMK008,145,repeat,HMK008_2,pollination,spp2,2004,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,124.6918
147,HMK008,145,repeat,HMK008_2,pollination,spp2,2005,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,129.1695
148,HMK008,145,repeat,HMK008_2,pollination,spp2,2006,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,136.8343
149,HMK008,145,repeat,HMK008_2,pollination,spp2,2007,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,111.7822
150,HMK008,145,repeat,HMK008_2,pollination,spp2,2008,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,122.6224
151,HMK008,145,repeat,HMK008_2,pollination,spp2,2009,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,107.19982
152,HMK008,145,repeat,HMK008_2,pollination,spp2,2010,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,119.7149
76,HMK008,146,repeat,HMK008_3,pollination,spp1,1975,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,159.6556
77,HMK008,146,repeat,HMK008_3,pollination,spp1,1979,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,157.6076
78,HMK008,146,repeat,HMK008_3,pollination,spp1,1980,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,160.4089
79,HMK008,146,repeat,HMK008_3,pollination,spp1,1981,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,139.7202
80,HMK008,146,repeat,HMK008_3,pollination,spp1,1983,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,161.5833
81,HMK008,146,repeat,HMK008_3,pollination,spp1,1984,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,161.1712
82,HMK008,146,repeat,HMK008_3,pollination,spp1,1986,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,149.8429
83,HMK008,146,repeat,HMK008_3,pollination,spp1,1987,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,135.0378
84,HMK008,146,repeat,HMK008_3,pollination,spp1,1988,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,141.1858
85,HMK008,146,repeat,HMK008_3,pollination,spp1,1989,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,139.9067
86,HMK008,146,repeat,HMK008_3,pollination,spp1,1991,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,150.7944
87,HMK008,146,repeat,HMK008_3,pollination,spp1,1993,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,157.8061
88,HMK008,146,repeat,HMK008_3,pollination,spp1,1995,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,169.6281
89,HMK008,146,repeat,HMK008_3,pollination,spp1,1996,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,145.7895
90,HMK008,146,repeat,HMK008_3,pollination,spp1,1997,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,151.3391
91,HMK008,146,repeat,HMK008_3,pollination,spp1,1998,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,141.8244
92,HMK008,146,repeat,HMK008_3,pollination,spp1,1999,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,149.7765
93,HMK008,146,repeat,HMK008_3,pollination,spp1,2000,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,141.3323
94,HMK008,146,repeat,HMK008_3,pollination,spp1,2001,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,139.786
95,HMK008,146,repeat,HMK008_3,pollination,spp1,2002,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,124.6497
96,HMK008,146,repeat,HMK008_3,pollination,spp1,2003,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,143.712
97,HMK008,146,repeat,HMK008_3,pollination,spp1,2004,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,135.2674
98,HMK008,146,repeat,HMK008_3,pollination,spp1,2005,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,145.1012
99,HMK008,146,repeat,HMK008_3,pollination,spp1,2006,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,134.6481
100,HMK008,146,repeat,HMK008_3,pollination,spp1,2008,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,155.1748
101,HMK008,146,repeat,HMK008_3,pollination,spp1,2009,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,136.2264
102,HMK008,146,repeat,HMK008_3,pollination,spp1,2010,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,138.0888
103,HMK008,146,repeat,HMK008_3,pollination,spp1,2011,Erythronium grandiflorum,Erythronium grandiflorum,unique,unique,daily,arizona,terrestrial,155.3492
153,HMK008,146,repeat,HMK008_3,pollination,spp2,1975,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,135.0237
154,HMK008,146,repeat,HMK008_3,pollination,spp2,1979,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,136.4563
155,HMK008,146,repeat,HMK008_3,pollination,spp2,1980,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,138.321
156,HMK008,146,repeat,HMK008_3,pollination,spp2,1981,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,133.4288
157,HMK008,146,repeat,HMK008_3,pollination,spp2,1983,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,147.6623
158,HMK008,146,repeat,HMK008_3,pollination,spp2,1984,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,105.56655
159,HMK008,146,repeat,HMK008_3,pollination,spp2,1986,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,117.4038
160,HMK008,146,repeat,HMK008_3,pollination,spp2,1987,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,104.1018
161,HMK008,146,repeat,HMK008_3,pollination,spp2,1988,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,137.2863
162,HMK008,146,repeat,HMK008_3,pollination,spp2,1989,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,124.44905
163,HMK008,146,repeat,HMK008_3,pollination,spp2,1991,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,118.3513
164,HMK008,146,repeat,HMK008_3,pollination,spp2,1993,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,125.48115
165,HMK008,146,repeat,HMK008_3,pollination,spp2,1995,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,122.9208
166,HMK008,146,repeat,HMK008_3,pollination,spp2,1996,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,139.1117
167,HMK008,146,repeat,HMK008_3,pollination,spp2,1997,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,114.09895
168,HMK008,146,repeat,HMK008_3,pollination,spp2,1998,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,134.0889
169,HMK008,146,repeat,HMK008_3,pollination,spp2,1999,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,134.1332
170,HMK008,146,repeat,HMK008_3,pollination,spp2,2000,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,116.26345
171,HMK008,146,repeat,HMK008_3,pollination,spp2,2001,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,95.23505
172,HMK008,146,repeat,HMK008_3,pollination,spp2,2002,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,125.7198
173,HMK008,146,repeat,HMK008_3,pollination,spp2,2003,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,126.27915
174,HMK008,146,repeat,HMK008_3,pollination,spp2,2004,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,124.6918
175,HMK008,146,repeat,HMK008_3,pollination,spp2,2005,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,129.1695
176,HMK008,146,repeat,HMK008_3,pollination,spp2,2006,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,136.8343
177,HMK008,146,repeat,HMK008_3,pollination,spp2,2008,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,122.6224
178,HMK008,146,repeat,HMK008_3,pollination,spp2,2009,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,107.19982
179,HMK008,146,repeat,HMK008_3,pollination,spp2,2010,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,119.7149
180,HMK008,146,repeat,HMK008_3,pollination,spp2,2011,Selasphorus platycercus,Selasphorus platycercus,unique,unique,daily,arizona,terrestrial,140.2216
