"","STANDID","PLOTNUMBER","SPECIES","count"
"112","AG05",6,"TSHE",5
"113","AG05",7,"ABAM",6
"114","AG05",7,"PSME",2
"115","AG05",7,"THPL",6
"116","AG05",7,"TSHE",11
"117","AG05",8,"ABAM",15
"118","AG05",8,"PSME",1
"119","AG05",8,"THPL",8
"120","AG05",8,"TSHE",7
"121","AG05",9,"ABAM",37
"122","AG05",9,"PSME",1
"123","AG05",9,"THPL",4
"124","AG05",9,"TSHE",37
"125","AG05",10,"ABAM",10
"126","AG05",10,"THPL",4
"127","AG05",10,"TSHE",11
"128","AG05",11,"ABAM",12
"129","AG05",11,"PSME",2
"130","AG05",11,"THPL",2
"131","AG05",11,"TSHE",5
"132","AG05",12,"ABAM",8
"133","AG05",12,"PSME",2
"134","AG05",12,"THPL",7
"135","AG05",12,"TSHE",5
"136","AG05",13,"ABAM",39
"137","AG05",13,"PSME",1
"138","AG05",13,"THPL",2
"139","AG05",13,"TSHE",10
"140","AG05",14,"ABAM",15
"141","AG05",14,"PSME",1
"142","AG05",14,"THPL",9
"143","AG05",14,"TSHE",5
"144","AG05",15,"ABAM",16
"145","AG05",15,"THPL",8
"146","AG05",15,"TSHE",6
"147","AG05",16,"ABAM",18
"148","AG05",16,"PSME",1
"149","AG05",16,"THPL",13
"150","AG05",16,"TSHE",9
"151","AM16",1,"ABAM",12
"152","AM16",1,"CHNO",4
"153","AM16",1,"TSHE",2
"154","AM16",2,"ABAM",21
"155","AM16",2,"CHNO",4
"156","AM16",2,"TSHE",3
"157","AM16",2,"TSME",3
"158","AM16",3,"ABAM",52
"159","AM16",3,"CHNO",6
"160","AM16",3,"TSHE",1
"161","AM16",3,"TSME",2
"162","AM16",4,"ABAM",7
"163","AM16",4,"CHNO",11
"164","AM16",4,"TSHE",2
"165","AM16",4,"TSME",6
"166","AM16",5,"ABAM",10
"167","AM16",5,"CHNO",4
"168","AM16",5,"TSHE",3
"169","AM16",5,"TSME",4
"170","AM16",6,"ABAM",4
"171","AM16",6,"CHNO",6
"172","AM16",6,"TSHE",2
"173","AM16",7,"ABAM",10
"174","AM16",7,"CHNO",3
"175","AM16",7,"TSHE",2
"176","AM16",7,"TSME",3
"177","AM16",8,"ABAM",35
"178","AM16",8,"CHNO",1
"179","AM16",8,"TSHE",1
"180","AM16",8,"TSME",6
"181","AM16",9,"ABAM",8
"182","AM16",9,"CHNO",8
"183","AM16",9,"TSHE",2
"184","AM16",9,"TSME",4
"185","AM16",10,"ABAM",3
"186","AM16",10,"CHNO",8
"187","AM16",10,"TSHE",2
"188","AM16",10,"TSME",8
"189","AM16",11,"ABAM",8
"190","AM16",11,"CHNO",14
"191","AM16",11,"TSME",7
"192","AM16",12,"ABAM",12
"193","AM16",12,"CHNO",15
"194","AM16",12,"TSME",4
"195","AM16",13,"ABAM",7
"196","AM16",13,"CHNO",16
"197","AM16",13,"TSHE",2
"198","AM16",13,"TSME",7
"199","AM16",14,"ABAM",5
"200","AM16",14,"CHNO",14
"201","AM16",14,"TSME",8
"202","AM16",15,"ABAM",48
"203","AM16",15,"CHNO",5
"204","AM16",15,"TSHE",3
"205","AM16",15,"TSME",3
"206","AM16",16,"ABAM",19
"207","AM16",16,"CHNO",2
"208","AM16",16,"TSHE",2
"209","AM16",16,"TSME",5
"210","AO03",1,"ABAM",7
"211","AO03",1,"THPL",5
"212","AO03",1,"TSHE",5
"213","AO03",2,"ABAM",8
"214","AO03",2,"TSHE",9
"215","AO03",3,"ABAM",8
"216","AO03",3,"THPL",1
"217","AO03",3,"TSHE",3
"218","AO03",4,"ABAM",2
"219","AO03",4,"THPL",2
"220","AO03",4,"TSHE",12
"221","AO03",5,"ABAM",20
"222","AO03",5,"TSHE",9
"223","AO03",6,"ABAM",19
"224","AO03",6,"PSME",2
"225","AO03",6,"TSHE",4
"226","AO03",7,"ABAM",15
"227","AO03",7,"TSHE",11
"228","AO03",8,"ABAM",16
"229","AO03",8,"TSHE",4
"230","AO03",9,"ABAM",4
"231","AO03",9,"THPL",1
"232","AO03",9,"TSHE",3
"233","AO03",10,"ABAM",25
"234","AO03",10,"TSHE",4
"235","AO03",11,"ABAM",25
"236","AO03",11,"TSHE",4
"237","AO03",12,"ABAM",17
"238","AO03",12,"TSHE",3
"239","AO03",13,"ABAM",21
"240","AO03",13,"TSHE",9
"241","AO03",14,"ABAM",56
"242","AO03",14,"PSME",1
"243","AO03",14,"TSHE",5
"244","AO03",15,"ABAM",26
"245","AO03",15,"TSHE",7
"246","AO03",16,"ABAM",35
"247","AO03",16,"TSHE",7
"248","AV06",1,"ABAM",13
"249","AV06",1,"TSHE",13
"250","AV06",2,"ABAM",18
"251","AV06",2,"PSME",1
"252","AV06",2,"THPL",1
"253","AV06",2,"TSHE",8
"254","AV06",3,"ABAM",70
"255","AV06",3,"PSME",1
"256","AV06",3,"TSHE",30
"257","AV06",4,"ABAM",21
"258","AV06",4,"TSHE",9
"259","AV06",5,"ABAM",24
"260","AV06",5,"TSHE",5
"261","AV06",6,"ABAM",69
"262","AV06",6,"TSHE",24
"263","AV06",7,"ABAM",18
"264","AV06",7,"PSME",2
"265","AV06",7,"TSHE",6
"266","AV06",8,"ABAM",22
"267","AV06",8,"PSME",1
"268","AV06",8,"TSHE",8
"269","AV06",9,"ABAM",16
"270","AV06",9,"CHNO",2
"271","AV06",9,"TSHE",4
"272","AV06",10,"ABAM",18
"273","AV06",10,"CHNO",1
"274","AV06",10,"PSME",1
"275","AV06",10,"TSHE",7
"276","AV06",11,"ABAM",41
"277","AV06",11,"THPL",2
"278","AV06",11,"TSHE",27
"279","AV06",12,"ABAM",27
"280","AV06",12,"THPL",1
"281","AV06",12,"TSHE",8
"282","AV06",13,"ABAM",18
"283","AV06",13,"THPL",1
"284","AV06",13,"TSHE",10
"285","AV06",14,"ABAM",15
"286","AV06",14,"TSHE",21
"287","AV06",15,"ABAM",11
"288","AV06",15,"THPL",1
"289","AV06",15,"TSHE",10
"290","AV06",16,"ABAM",35
"291","AV06",16,"TSHE",47
"292","TA01",1,"ABAM",3
"293","TA01",1,"PSME",10
"294","TA01",1,"TSHE",10
"295","TA01",2,"ABAM",1
"296","TA01",2,"PSME",4
"297","TA01",2,"TSHE",13
"298","TA01",3,"PSME",13
"299","TA01",3,"TSHE",12
"300","TA01",4,"ABAM",2
"301","TA01",4,"PSME",11
"302","TA01",4,"TSHE",15
"303","TA01",5,"PSME",14
"304","TA01",5,"TSHE",20
"305","TA01",6,"ABAM",1
"306","TA01",6,"PSME",11
"307","TA01",6,"TSHE",11
"308","TA01",7,"PSME",8
"309","TA01",7,"TSHE",22
"310","TA01",8,"ABAM",1
"311","TA01",8,"PSME",11
"312","TA01",8,"TSHE",14
"313","TA01",9,"ABAM",1
"314","TA01",9,"PSME",4
"315","TA01",9,"THPL",1
"316","TA01",9,"TSHE",9
"317","TA01",10,"PSME",11
"318","TA01",10,"THPL",1
"319","TA01",10,"TSHE",12
"320","TA01",11,"PSME",3
"321","TA01",11,"TSHE",14
"322","TA01",12,"ABAM",1
"323","TA01",12,"PSME",2
"324","TA01",12,"TSHE",15
"325","TA01",13,"PSME",12
"326","TA01",13,"TSHE",15
"327","TA01",14,"PSME",6
"328","TA01",14,"TSHE",8
"329","TA01",15,"PSME",5
"330","TA01",15,"TSHE",18
"331","TA01",16,"ABAM",1
"332","TA01",16,"PSME",13
"333","TA01",16,"TSHE",22
"334","TO04",1,"ABAM",23
"335","TO04",1,"PSME",1
"336","TO04",1,"TSHE",34
"337","TO04",2,"ABAM",3
"338","TO04",2,"PSME",1
"339","TO04",2,"THPL",1
"340","TO04",2,"TSHE",21
"341","TO04",3,"ABAM",2
"342","TO04",3,"PSME",1
"343","TO04",3,"THPL",1
"344","TO04",3,"TSHE",17
"345","TO04",4,"ABAM",3
"346","TO04",4,"TSHE",15
"347","TO04",5,"ABAM",7
"348","TO04",5,"THPL",1
"349","TO04",5,"TSHE",16
"350","TO04",6,"ABAM",5
"351","TO04",6,"THPL",2
"352","TO04",6,"TSHE",13
"353","TO04",7,"ABAM",13
"354","TO04",7,"THPL",1
"355","TO04",7,"TSHE",12
"356","TO04",7,"TSME",1
"357","TO04",8,"THPL",2
"358","TO04",8,"TSHE",11
"359","TO04",9,"THPL",1
"360","TO04",9,"TSHE",11
"361","TO04",10,"TSHE",6
"362","TO04",11,"THPL",1
"363","TO04",11,"TSHE",13
"364","TO04",12,"PSME",1
"365","TO04",12,"THPL",1
"366","TO04",12,"TSHE",10
"367","TO04",13,"THPL",1
"368","TO04",13,"TSHE",14
"369","TO04",14,"ABAM",1
"370","TO04",14,"THPL",1
"371","TO04",14,"TSHE",20
"372","TO04",15,"PSME",2
"373","TO04",15,"THPL",1
"374","TO04",15,"TSHE",24
"375","TO04",16,"THPL",4
"376","TO04",16,"TSHE",12
